,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
1,39.1,18.7,181,3750
2,39.5,17.4,186,3800
3,40.3,18,195,3250
4,NA,NA,NA,NA
5,36.7,19.3,193,3450
6,39.3,20.6,190,3650
7,38.9,17.8,181,3625
8,39.2,19.6,195,4675
9,34.1,18.1,193,3475
10,42,20.2,190,4250
11,37.8,17.1,186,3300
12,37.8,17.3,180,3700
13,41.1,17.6,182,3200
14,38.6,21.2,191,3800
15,34.6,21.1,198,4400
16,36.6,17.8,185,3700
17,38.7,19,195,3450
18,42.5,20.7,197,4500
19,34.4,18.4,184,3325
20,46,21.5,194,4200
21,37.8,18.3,174,3400
22,37.7,18.7,180,3600
23,35.9,19.2,189,3800
24,38.2,18.1,185,3950
25,38.8,17.2,180,3800
26,35.3,18.9,187,3800
27,40.6,18.6,183,3550
28,40.5,17.9,187,3200
29,37.9,18.6,172,3150
30,40.5,18.9,180,3950
31,39.5,16.7,178,3250
32,37.2,18.1,178,3900
33,39.5,17.8,188,3300
34,40.9,18.9,184,3900
35,36.4,17,195,3325
36,39.2,21.1,196,4150
37,38.8,20,190,3950
38,42.2,18.5,180,3550
39,37.6,19.3,181,3300
40,39.8,19.1,184,4650
41,36.5,18,182,3150
42,40.8,18.4,195,3900
43,36,18.5,186,3100
44,44.1,19.7,196,4400
45,37,16.9,185,3000
46,39.6,18.8,190,4600
47,41.1,19,182,3425
48,37.5,18.9,179,2975
49,36,17.9,190,3450
50,42.3,21.2,191,4150
51,39.6,17.7,186,3500
52,40.1,18.9,188,4300
53,35,17.9,190,3450
54,42,19.5,200,4050
55,34.5,18.1,187,2900
56,41.4,18.6,191,3700
57,39,17.5,186,3550
58,40.6,18.8,193,3800
59,36.5,16.6,181,2850
60,37.6,19.1,194,3750
61,35.7,16.9,185,3150
62,41.3,21.1,195,4400
63,37.6,17,185,3600
64,41.1,18.2,192,4050
65,36.4,17.1,184,2850
66,41.6,18,192,3950
67,35.5,16.2,195,3350
68,41.1,19.1,188,4100
69,35.9,16.6,190,3050
70,41.8,19.4,198,4450
71,33.5,19,190,3600
72,39.7,18.4,190,3900
73,39.6,17.2,196,3550
74,45.8,18.9,197,4150
75,35.5,17.5,190,3700
76,42.8,18.5,195,4250
77,40.9,16.8,191,3700
78,37.2,19.4,184,3900
79,36.2,16.1,187,3550
80,42.1,19.1,195,4000
81,34.6,17.2,189,3200
82,42.9,17.6,196,4700
83,36.7,18.8,187,3800
84,35.1,19.4,193,4200
85,37.3,17.8,191,3350
86,41.3,20.3,194,3550
87,36.3,19.5,190,3800
88,36.9,18.6,189,3500
89,38.3,19.2,189,3950
90,38.9,18.8,190,3600
91,35.7,18,202,3550
92,41.1,18.1,205,4300
93,34,17.1,185,3400
94,39.6,18.1,186,4450
95,36.2,17.3,187,3300
96,40.8,18.9,208,4300
97,38.1,18.6,190,3700
98,40.3,18.5,196,4350
99,33.1,16.1,178,2900
100,43.2,18.5,192,4100
101,35,17.9,192,3725
102,41,20,203,4725
103,37.7,16,183,3075
104,37.8,20,190,4250
105,37.9,18.6,193,2925
106,39.7,18.9,184,3550
107,38.6,17.2,199,3750
108,38.2,20,190,3900
109,38.1,17,181,3175
110,43.2,19,197,4775
111,38.1,16.5,198,3825
112,45.6,20.3,191,4600
113,39.7,17.7,193,3200
114,42.2,19.5,197,4275
115,39.6,20.7,191,3900
116,42.7,18.3,196,4075
117,38.6,17,188,2900
118,37.3,20.5,199,3775
119,35.7,17,189,3350
120,41.1,18.6,189,3325
121,36.2,17.2,187,3150
122,37.7,19.8,198,3500
123,40.2,17,176,3450
124,41.4,18.5,202,3875
125,35.2,15.9,186,3050
126,40.6,19,199,4000
127,38.8,17.6,191,3275
128,41.5,18.3,195,4300
129,39,17.1,191,3050
130,44.1,18,210,4000
131,38.5,17.9,190,3325
132,43.1,19.2,197,3500
133,36.8,18.5,193,3500
134,37.5,18.5,199,4475
135,38.1,17.6,187,3425
136,41.1,17.5,190,3900
137,35.6,17.5,191,3175
138,40.2,20.1,200,3975
139,37,16.5,185,3400
140,39.7,17.9,193,4250
141,40.2,17.1,193,3400
142,40.6,17.2,187,3475
143,32.1,15.5,188,3050
144,40.7,17,190,3725
145,37.3,16.8,192,3000
146,39,18.7,185,3650
147,39.2,18.6,190,4250
148,36.6,18.4,184,3475
149,36,17.8,195,3450
150,37.8,18.1,193,3750
151,36,17.1,187,3700
152,41.5,18.5,201,4000
153,46.1,13.2,211,4500
154,50,16.3,230,5700
155,48.7,14.1,210,4450
156,50,15.2,218,5700
157,47.6,14.5,215,5400
158,46.5,13.5,210,4550
159,45.4,14.6,211,4800
160,46.7,15.3,219,5200
161,43.3,13.4,209,4400
162,46.8,15.4,215,5150
163,40.9,13.7,214,4650
164,49,16.1,216,5550
165,45.5,13.7,214,4650
166,48.4,14.6,213,5850
167,45.8,14.6,210,4200
168,49.3,15.7,217,5850
169,42,13.5,210,4150
170,49.2,15.2,221,6300
171,46.2,14.5,209,4800
172,48.7,15.1,222,5350
173,50.2,14.3,218,5700
174,45.1,14.5,215,5000
175,46.5,14.5,213,4400
176,46.3,15.8,215,5050
177,42.9,13.1,215,5000
178,46.1,15.1,215,5100
179,44.5,14.3,216,4100
180,47.8,15,215,5650
181,48.2,14.3,210,4600
182,50,15.3,220,5550
183,47.3,15.3,222,5250
184,42.8,14.2,209,4700
185,45.1,14.5,207,5050
186,59.6,17,230,6050
187,49.1,14.8,220,5150
188,48.4,16.3,220,5400
189,42.6,13.7,213,4950
190,44.4,17.3,219,5250
191,44,13.6,208,4350
192,48.7,15.7,208,5350
193,42.7,13.7,208,3950
194,49.6,16,225,5700
195,45.3,13.7,210,4300
196,49.6,15,216,4750
197,50.5,15.9,222,5550
198,43.6,13.9,217,4900
199,45.5,13.9,210,4200
200,50.5,15.9,225,5400
201,44.9,13.3,213,5100
202,45.2,15.8,215,5300
203,46.6,14.2,210,4850
204,48.5,14.1,220,5300
205,45.1,14.4,210,4400
206,50.1,15,225,5000
207,46.5,14.4,217,4900
208,45,15.4,220,5050
209,43.8,13.9,208,4300
210,45.5,15,220,5000
211,43.2,14.5,208,4450
212,50.4,15.3,224,5550
213,45.3,13.8,208,4200
214,46.2,14.9,221,5300
215,45.7,13.9,214,4400
216,54.3,15.7,231,5650
217,45.8,14.2,219,4700
218,49.8,16.8,230,5700
219,46.2,14.4,214,4650
220,49.5,16.2,229,5800
221,43.5,14.2,220,4700
222,50.7,15,223,5550
223,47.7,15,216,4750
224,46.4,15.6,221,5000
225,48.2,15.6,221,5100
226,46.5,14.8,217,5200
227,46.4,15,216,4700
228,48.6,16,230,5800
229,47.5,14.2,209,4600
230,51.1,16.3,220,6000
231,45.2,13.8,215,4750
232,45.2,16.4,223,5950
233,49.1,14.5,212,4625
234,52.5,15.6,221,5450
235,47.4,14.6,212,4725
236,50,15.9,224,5350
237,44.9,13.8,212,4750
238,50.8,17.3,228,5600
239,43.4,14.4,218,4600
240,51.3,14.2,218,5300
241,47.5,14,212,4875
242,52.1,17,230,5550
243,47.5,15,218,4950
244,52.2,17.1,228,5400
245,45.5,14.5,212,4750
246,49.5,16.1,224,5650
247,44.5,14.7,214,4850
248,50.8,15.7,226,5200
249,49.4,15.8,216,4925
250,46.9,14.6,222,4875
251,48.4,14.4,203,4625
252,51.1,16.5,225,5250
253,48.5,15,219,4850
254,55.9,17,228,5600
255,47.2,15.5,215,4975
256,49.1,15,228,5500
257,47.3,13.8,216,4725
258,46.8,16.1,215,5500
259,41.7,14.7,210,4700
260,53.4,15.8,219,5500
261,43.3,14,208,4575
262,48.1,15.1,209,5500
263,50.5,15.2,216,5000
264,49.8,15.9,229,5950
265,43.5,15.2,213,4650
266,51.5,16.3,230,5500
267,46.2,14.1,217,4375
268,55.1,16,230,5850
269,44.5,15.7,217,4875
270,48.8,16.2,222,6000
271,47.2,13.7,214,4925
272,NA,NA,NA,NA
273,46.8,14.3,215,4850
274,50.4,15.7,222,5750
275,45.2,14.8,212,5200
276,49.9,16.1,213,5400
277,46.5,17.9,192,3500
278,50,19.5,196,3900
279,51.3,19.2,193,3650
280,45.4,18.7,188,3525
281,52.7,19.8,197,3725
282,45.2,17.8,198,3950
283,46.1,18.2,178,3250
284,51.3,18.2,197,3750
285,46,18.9,195,4150
286,51.3,19.9,198,3700
287,46.6,17.8,193,3800
288,51.7,20.3,194,3775
289,47,17.3,185,3700
290,52,18.1,201,4050
291,45.9,17.1,190,3575
292,50.5,19.6,201,4050
293,50.3,20,197,3300
294,58,17.8,181,3700
295,46.4,18.6,190,3450
296,49.2,18.2,195,4400
297,42.4,17.3,181,3600
298,48.5,17.5,191,3400
299,43.2,16.6,187,2900
300,50.6,19.4,193,3800
301,46.7,17.9,195,3300
302,52,19,197,4150
303,50.5,18.4,200,3400
304,49.5,19,200,3800
305,46.4,17.8,191,3700
306,52.8,20,205,4550
307,40.9,16.6,187,3200
308,54.2,20.8,201,4300
309,42.5,16.7,187,3350
310,51,18.8,203,4100
311,49.7,18.6,195,3600
312,47.5,16.8,199,3900
313,47.6,18.3,195,3850
314,52,20.7,210,4800
315,46.9,16.6,192,2700
316,53.5,19.9,205,4500
317,49,19.5,210,3950
318,46.2,17.5,187,3650
319,50.9,19.1,196,3550
320,45.5,17,196,3500
321,50.9,17.9,196,3675
322,50.8,18.5,201,4450
323,50.1,17.9,190,3400
324,49,19.6,212,4300
325,51.5,18.7,187,3250
326,49.8,17.3,198,3675
327,48.1,16.4,199,3325
328,51.4,19,201,3950
329,45.7,17.3,193,3600
330,50.7,19.7,203,4050
331,42.5,17.3,187,3350
332,52.2,18.8,197,3450
333,45.2,16.6,191,3250
334,49.3,19.9,203,4050
335,50.2,18.8,202,3800
336,45.6,19.4,194,3525
337,51.9,19.5,206,3950
338,46.8,16.5,189,3650
339,45.7,17,195,3650
340,55.8,19.8,207,4000
341,43.5,18.1,202,3400
342,49.6,18.2,193,3775
343,50.8,19,210,4100
344,50.2,18.7,198,3775
